title,year,avg_vote,votes
La fille de l'eau,1925,6.9,510
Die Finanzen des Großherzogs,1924,6.5,695
Forbidden Paradise,1924,6.3,119
Girl Shy,1924,7.7,2913
He Who Gets Slapped,1924,7.8,2771
Her Night of Romance,1924,6.8,245
Hot Water,1924,7.2,1161
L'inhumaine,1924,7.2,634
The Iron Horse,1924,7.2,1797
Isn't Life Wonderful,1924,7,268
Janice Meredith,1924,5.7,661
Kean,1924,6.7,136
Der letzte Mann,1924,8.1,11361
Manhandled,1924,6.5,932
The Marriage Circle,1924,7.2,1002
Michael,1924,7.1,1446
Monsieur Beaucaire,1924,5.8,439
The Navigator,1924,7.7,8373
Neobychainye priklyucheniya mistera Vesta v strane bolshevikov,1924,6.6,827
Die Nibelungen: Kriemhilds Rache,1924,8,3656
Die Nibelungen: Siegfried,1924,8.1,4801
Orlacs Hände,1924,7,2008
Papirosnitsa ot Mosselproma,1924,6.9,125
Peter Pan,1924,7.1,797
The Red Lily,1924,7.1,397
Romola,1924,6.4,146
The Sea Hawk,1924,7.1,424
Secrets,1924,5.5,212
Sherlock Jr.,1924,8.2,35132
Stachka,1925,7.6,6434
The Thief of Bagdad,1924,7.8,5141
The White Shadow,1924,6.3,189
Wild Oranges,1924,6.8,417
Wine of Youth,1924,6,301
Yolanda,1924,6.1,123
Die Abenteuer des Prinzen Achmed,1926,7.8,4872
The Big Parade,1925,7.9,5839
Body and Soul,1925,6.2,618
Braveheart,1925,7,174
Bronenosets Potemkin,1925,8,49221
The Circle,1925,6.3,479
Clash of the Wolves,1925,6.6,227
Cobra,1925,6.4,660
Don Q Son of Zorro,1925,7,384
Du skal ære din hustru,1925,7.1,1562
The Eagle,1925,6.6,1584
Le fantôme du Moulin-Rouge,1925,6.3,123
Feu Mathias Pascal,1926,7.1,293
The Freshman,1925,7.5,4669
Die freudlose Gasse,1925,7.2,1299
Glomdalsbruden,1926,6.6,387
Go West,1925,7.2,3490
The Gold Rush,1925,8.2,91960
The Goose Woman,1925,7,138
Greed,1924,8.1,8439
Gribiche,1926,6.9,206
Her Sister from Paris,1925,6.5,143
El húsar de la muerte,1925,6.7,101
Lady Windermere's Fan,1925,7.3,921
Lady of the Night,1925,6.6,519
The Lady,1925,5.2,120
Lazybones,1925,7.2,457
Lights of Old Broadway,1925,6,442
Little Annie Rooney,1925,6.7,854
The Little Colonel,1935,7.1,1259
The Lost World,1925,7,4307
The Merry Widow,1925,7.3,2049
The Monster,1925,6.2,874
Orochi,1925,7.1,271
Parisian Love,1925,6.2,197
Paths to Paradise,1925,6.7,117
The Phantom of the Opera,1925,7.6,15498
The Plastic Age,1925,6.1,262
The Pleasure Garden,1925,6,1952
Poil de carotte,1925,7.1,179
Prem Sanyas,1925,6.8,120
Pretty Ladies,1925,3.8,131
The Rag Man,1925,7.1,311
The Red Kimona,1925,6.5,238
Riders of the Purple Sage,1925,6.4,154
The Road to Yesterday,1925,6.7,115
Sally of the Sawdust,1925,6.6,461
"Sally, Irene and Mary",1925,3.6,121
The Salvation Hunters,1925,6.8,294
Seven Chances,1925,7.9,8412
She,1925,6.1,110
Soul-Fire,1925,4.1,107
Die Stadt ohne Juden,1924,6.5,181
Stage Struck,1925,6.5,806
Stella Dallas,1925,7.2,223
Tumbleweeds,1925,6.5,510
The Unholy Three,1925,7.2,1550
The Vanishing American,1925,6.8,279
Varieté,1925,7.4,866
Visages d'enfants,1925,7.7,671
Le voyage imaginaire,1926,6.7,143
The Wizard of Oz,1925,5.1,1365
Wolfblood,1925,5.8,226
A Woman of the World,1925,6.9,111
Zakroyshchik iz Torzhka,1925,6.9,102
Zander the Great,1925,5.4,605
Zur Chronik von Grieshuus,1925,6.6,122
Bardelys the Magnificent,1926,7,970
The Bat,1926,6.6,646
Battling Butler,1926,7.1,2486
Beau Geste,1926,7,315
The Bells,1926,6.5,324
Ben-Hur: A Tale of the Christ,1925,7.8,6883
The Better 'Ole,1926,6.4,214
Beverly of Graustark,1926,5.9,446
The Black Pirate,1926,7.1,1583
The Blackbird,1926,6.8,598
The Blue Eagle,1926,5.5,133
La Bohème,1926,7.3,1402
The Boob,1926,5.1,421
Brown of Harvard,1926,6.2,1378
Brudeferden i Hardanger,1926,6.7,116
Dancing Mothers,1926,6.6,132
Don Juan,1926,7,690
Ella Cinders,1926,6.7,860
Eve's Leaves,1926,4.5,117
Exit Smiling,1926,6.9,387
Faust: Eine deutsche Volkssage,1926,8.1,13010
Fig Leaves,1926,6.4,194
Fine Manners,1926,5.8,731
Flesh and the Devil,1926,7.7,3753
For Heaven's Sake,1926,7.5,1328
Geheimnisse einer Seele,1926,6.9,595
The Great K & A Train Robbery,1926,6.4,246
Hands Up!,1926,6.5,199
Der heilige Berg,1926,6.7,632
His First Flame,1927,6.1,118
It's the Old Army Game,1926,6.6,226
Kid Boots,1926,6.9,118
Kiki,1926,6.6,392
Kurutta ippêji,1926,7.4,2467
The Lodger: A Story of the London Fog,1927,7.3,9272
Love 'Em and Leave 'Em,1926,6.4,194
Maciste all'inferno,1925,6.8,383
The Magician,1926,6.8,505
Mantrap,1926,6.8,295
Mare Nostrum,1926,6.8,302
Mat,1926,7.5,2267
Metropolis,1927,8.3,148396
Miss Mend,1926,6.9,247
Namus,1925,7.1,106
Nana,1926,6.8,647
Nell Gwyn,1926,5.3,223
Old Ironsides,1926,6.6,153
Po zakonu,1926,7.7,852
Protsess o tryokh millionakh,1926,7.1,119
The Road to Mandalay,1926,6.6,142
Der Rosenkavalier,1925,5.9,100
The Scarlet Letter,1926,7.7,1434
The Sea Beast,1926,6.5,126
The Shamrock Handicap,1926,5.9,116
Shinel,1926,6.8,258
The Show-Off,1926,6.8,241
So This Is Paris,1926,7.1,293
So's Your Old Man,1926,6.2,154
The Son of the Sheik,1926,6.7,1698
The Sorrows of Satan,1926,6.1,186
Sparrows,1926,7.3,1110
The Strong Man,1926,6.7,727
Der Student von Prag,1926,6.9,530
Herr Tartüff,1925,7.1,1778
The Temptress,1926,7,1024
3 Bad Men,1926,7.5,940
Torrent,1926,6.9,671
"Tramp, Tramp, Tramp",1926,6.1,578
The Volga Boatman,1926,6.7,113
West Point,1927,6.5,1688
What Price Glory,1926,6.8,335
The Winning of Barbara Worth,1926,7.1,599
Almost Human,1927,7.4,334
Alraune,1928,6.1,266
Annie Laurie,1927,5.8,348
Baby ryazanskie,1927,7.1,178
Barbed Wire,1927,6.9,173
The Beloved Rogue,1927,6.9,683
Captain Salvation,1927,6.8,223
Casanova,1927,6.7,167
The Cat and the Canary,1927,7.1,2526
Chicago,1927,7.1,348
Children of Divorce,1927,6.6,182
College,1927,7.1,4035
Devushka s korobkoy,1927,7.3,556
Downhill,1927,6.2,1911
The Drop Kick,1927,4.8,193
Easy Virtue,1928,5.7,2348
The Fair Co-Ed,1927,5.6,699
The First Auto,1927,6.4,187
The Gaucho,1927,7,263
The General,1926,8.1,73744
Get Your Man,1927,6.6,141
La glace à trois faces,1927,7.1,697
Schaste,1935,7.5,868
Hindle Wakes,1927,7.1,225
Hotel Imperial,1927,6.6,199
Hula,1927,6.4,164
It,1927,7.3,2774
The Jazz Singer,1927,6.5,8372
Le joueur d'échecs,1927,6.8,248
The Kid Brother,1927,7.7,3538
The King of Kings,1927,7.3,1771
Konets Sankt-Peterburga,1927,7.3,1368
Die Liebe der Jeanne Ney,1927,7.3,620
London After Midnight,1927,6.8,1128
Long Pants,1927,6.4,409
Love,1927,7,860
The Love of Sunya,1927,6.2,746
"Man, Woman and Sin",1927,5.9,344
Mockery,1927,6.7,374
Mr. Wu,1927,6.4,521
My Best Girl,1927,7.4,749
Napoléon vu par Abel Gance,1927,8.1,6383
Oktyabr,1927,7.4,6452
Old San Francisco,1927,6.4,282
Orchids and Ermine,1927,6.8,110
Paid to Love,1927,6.3,105
The Patent Leather Kid,1927,5.8,437
Quality Street,1927,6.5,723
The Red Mill,1927,6.6,1327
The Ring,1927,6.2,2912
Running Wild,1927,7.1,168
The Scar of Shame,1927,6.3,248
7th Heaven,1927,7.7,2857
A Ship Comes In,1928,5.7,129
Shooting Stars,1928,7,325
The Show,1927,6.9,484
"Slide, Kelly, Slide",1927,4,480
Spring Fever,1927,6,824
The Student Prince in Old Heidelberg,1927,7.6,1263
Sunrise: A Song of Two Humans,1927,8.1,44314
Tarzan and the Golden Lion,1927,5.4,122
Tell It to the Marines,1926,6.9,1402
Tillie the Toiler,1927,5.8,457
Tretya meshchanskaya,1927,7.5,971
Twelve Miles Out,1927,5.3,538
Two Arabian Knights,1927,6.7,828
Un chapeau de paille d'Italie,1928,6.8,728
Uncle Tom's Cabin,1927,6.7,356
Underworld,1927,7.6,2301
The Unknown,1927,7.8,6657
Upstream,1927,6.2,235
When a Man Loves,1927,6.8,274
Wings,1927,7.5,10417
Winners of the Wilderness,1927,3.3,102
"Die Frau, nach der man sich sehnt",1929,6.8,191
Abwege,1928,7,278
Across to Singapore,1928,6,888
The Battle of the Sexes,1928,6.5,382
Beggars of Life,1928,7.5,879
Bringing Up Father,1928,4.8,129
Die Büchse der Pandora,1929,7.9,9097
The Cameraman,1928,8.1,9460
The Cardboard Lover,1928,6.2,798
Champagne,1928,5.6,1805
La chute de la maison Usher,1928,7.3,3133
The Circus,1928,8.2,23629
The Cossacks,1928,6.5,603
The Crowd,1928,8.1,6951
Les deux timides,1928,6.8,141
The Divine Woman,1928,6.8,330
The Docks of New York,1928,7.5,3596
Dom na Trubnoy,1928,7.3,517
Eliso,1928,7,110
The Farmer's Wife,1928,5.9,2284
Fazil,1928,5.9,146
Feel My Pulse,1928,7,140
4 Devils,1928,6.3,124
The Four Feathers,1929,6.9,253
Four Sons,1928,7.1,580
Four Walls,1928,3.7,280
The Garden of Eden,1928,6.8,316
Geschlecht in Fesseln,1928,6.7,221
A Girl in Every Port,1928,6.7,589
Hangman's House,1928,6.6,378
Heimkehr,1928,7,144
High Treason,1929,6,105
Jûjiro,1928,7.1,284
A Lady of Chance,1928,6.9,386
The Last Command,1928,8,3033
"Laugh, Clown, Laugh",1928,7.6,1623
Lights of New York,1928,5.7,661
Lilac Time,1928,6.1,598
Lonesome,1928,7.8,1889
Maldone,1928,6.8,167
The Man Who Laughs,1928,7.7,5188
The Matinee Idol,1928,6.9,460
The Mating Call,1928,6.8,331
Mother Machree,1927,5.4,111
Moulin Rouge,1928,6.4,148
The Mysterious Lady,1928,7.3,1120
Our Dancing Daughters,1928,6.8,1398
La passion de Jeanne d'Arc,1928,8.2,42209
The Patsy,1928,7.5,2282
Potomok Chingis-Khana,1928,7.1,1642
The Power of the Press,1928,6.6,180
The Racket,1928,6.7,995
Riley the Cop,1928,6,157
Sadie Thompson,1928,7.2,2423
Shiraz,1928,6.8,110
Show People,1928,7.6,3344
The Singing Fool,1928,6.3,197
The Smart Set,1928,6.2,952
Speedy,1928,7.7,2973
Spione,1928,7.6,2884
